area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo
1,10150,011403,028,10,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,5,4,5,5,5,2,1,5,5,2712,61.863106077559,010150011403,01015001140302810,010150011403028101,202210
1,10150,014901,013,01,1,1,1,2,2,2,2,2,1,2,1,1,3,2,2,2,2,2,4,5,4,5,5,1,1,2,4,2712,42.4194527776798,010150014901,01015001490101301,010150014901013011,202210
1,10150,014901,013,02,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,5,4,5,2,5,2,1,2,1,2712,42.4194527776798,010150014901,01015001490101302,010150014901013021,202210
1,10150,014901,013,03,1,1,1,4,2,1,2,2,2,1,2,2,3,1,2,2,2,2,4,5,5,5,5,4,4,5,5,2712,42.4194527776798,010150014901,01015001490101303,010150014901013031,202210
1,10150,014901,013,04,1,1,1,2,2,1,1,2,1,2,1,2,3,2,2,2,2,2,5,5,5,5,5,1,1,5,4,2712,42.4194527776798,010150014901,01015001490101304,010150014901013041,202210
1,10150,014901,013,05,1,3,1,2,2,4,1,1,1,2,1,1,5,2,2,2,2,2,5,5,5,5,5,1,2,5,5,2712,42.4194527776798,010150014901,01015001490101305,010150014901013051,202210
1,10150,014901,013,06,1,1,1,1,2,2,1,2,2,1,1,1,4,1,2,2,1,2,5,5,5,5,5,2,4,4,5,2712,42.4194527776798,010150014901,01015001490101306,010150014901013061,202210
1,10150,014901,013,07,1,1,1,2,2,2,2,2,1,2,2,1,5,2,2,2,2,2,5,4,5,5,5,2,2,5,5,2712,42.4194527776798,010150014901,01015001490101307,010150014901013071,202210
1,10150,015501,025,01,1,1,1,5,1,1,2,2,1,2,2,2,2,2,1,2,2,2,5,5,5,5,5,2,99,4,5,2712,110.434095009655,010150015501,01015001550102501,010150015501025011,202210
1,10150,015501,025,02,1,3,6,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,5,5,5,5,5,5,2,2,2,2712,110.434095009655,010150015501,01015001550102502,010150015501025021,202210
1,10150,015501,025,03,1,3,2,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,5,5,5,4,4,1,5,5,5,2712,110.434095009655,010150015501,01015001550102503,010150015501025031,202210
1,10150,015501,025,04,1,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,1,4,4,2712,110.434095009655,010150015501,01015001550102504,010150015501025041,202210
1,10150,015501,025,05,1,1,2,2,2,2,2,2,2,1,2,1,3,2,2,2,2,2,5,4,5,4,5,1,1,4,5,2712,110.434095009655,010150015501,01015001550102505,010150015501025051,202210
1,10150,015501,025,09,1,1,1,1,1,1,2,2,2,2,1,1,4,1,2,2,2,2,5,5,5,5,5,2,5,5,5,2712,110.434095009655,010150015501,01015001550102509,010150015501025091,202210
1,10150,016004,013,01,1,1,1,1,1,1,2,2,2,1,2,1,4,2,2,2,2,2,5,5,5,5,5,3,3,4,5,2712,58.5747036301256,010150016004,01015001600401301,010150016004013011,202210
1,10150,016004,013,02,1,3,2,2,2,2,2,1,1,2,1,1,4,2,2,2,2,2,5,3,4,4,4,4,5,5,5,2712,58.5747036301256,010150016004,01015001600401302,010150016004013021,202210
1,10150,016004,013,03,1,3,1,1,1,1,2,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,3,5,5,5,2712,58.5747036301256,010150016004,01015001600401303,010150016004013031,202210
1,10150,016004,013,04,1,3,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,58.5747036301256,010150016004,01015001600401304,010150016004013041,202210
1,10150,016004,013,05,1,3,1,1,1,1,2,2,1,1,1,1,4,2,2,2,2,2,5,5,5,5,5,1,4,4,4,2712,58.5747036301256,010150016004,01015001600401305,010150016004013051,202210
1,10150,016004,013,06,1,3,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,58.5747036301256,010150016004,01015001600401306,010150016004013061,202210
1,10150,016004,013,07,1,3,1,1,1,1,2,2,2,1,2,1,4,2,2,2,2,2,5,5,5,5,5,3,5,4,5,2712,58.5747036301256,010150016004,01015001600401307,010150016004013071,202210
1,10150,016903,013,01,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,4,5,5,5,1,2,4,5,2712,82.8128231019993,010150016903,01015001690301301,010150016903013011,202210
1,10150,016903,013,02,1,3,1,1,2,2,2,2,1,2,2,2,4,2,2,2,2,2,5,3,4,5,5,1,1,5,5,2712,82.8128231019993,010150016903,01015001690301302,010150016903013021,202210
